Distance,E,N,Elev
0.0,512724.781045892,-1336133.2710576283,2074.546875
500.0000000000115,513217.96038480883,-1336215.5762194686,2073.818359375
1000.0000000000282,513604.9611731986,-1336532.168054148,2072.88671875
1499.9999999998954,513910.73054328864,-1336927.775299171,2071.267578125
1999.9999999998859,514155.36959642475,-1337363.8392092583,2069.71484375
2500.000000000031,514370.1353258429,-1337815.3651569819,2066.8046875
3000.0000000000286,514564.062004541,-1338276.225703448,2064.4453125
3499.999999999912,514695.49967016873,-1338758.6406079174,2061.546875
4000.000000000001,514954.58468449395,-1339186.2794220494,2059.390625
4499.999999999936,515253.20310886967,-1339587.311885353,2057.75390625
5000.000000000022,515595.4329949642,-1339951.8372000621,2055.96875
5499.999999999966,515799.2764920524,-1340408.3980708064,2054.263671875
6000.000000000033,515756.70431648707,-1340906.5823839554,2052.515625
6499.999999999993,515669.4501061969,-1341398.9102247145,2049.869140625
6999.99999999993,515598.4147266747,-1341893.8384769452,2046.716796875
7499.99999999996,515537.51183670753,-1342390.1154540393,2043.9609375
7999.999999999979,515454.47969965555,-1342883.1729194697,2040.744140625
8500.000000000042,515355.4999065327,-1343373.2780108056,2038.21484375
8999.99999999984,515265.4782207002,-1343865.1073471406,2035.173828125
9500.000000000005,515178.3642523946,-1344357.4600220863,2032.025390625
9999.999999999978,515107.4280976432,-1344852.402505562,2028.89453125
10499.999999999925,515075.97651516646,-1345351.4123230602,2025.654296875
10999.99999999991,515074.661249672,-1345851.410593134,2022.76171875
11499.99999999996,515081.16137967806,-1346351.3683396585,2019.0390625
12000.00000000001,515098.9926513083,-1346851.0502842513,2014.7734375
12499.999999999933,515140.3763418253,-1347349.3347312885,2010.423828125
12999.999999999956,515182.13442871615,-1347847.5879421956,2007.302734375
13499.999999999849,515204.97490315896,-1348347.0659824808,2005.37890625
14000.000000000015,515287.94451792963,-1348840.1339727468,2004.166015625
14499.999999999882,515413.4714277399,-1349324.1205375534,2002.28125
14999.999999999845,515525.0955255368,-1349811.5013545651,1999.6796875
15499.999999999962,515596.6106169886,-1350306.36051806,1996.8984375
15999.999999999978,515603.43902117375,-1350806.313888782,1993.99609375
16499.999999999964,515526.2912505928,-1351300.3262585606,1991.54296875
16999.999999999825,515365.0770767607,-1351773.623195119,1989.6796875
17499.99999999996,515145.80285675084,-1352222.9769716016,1987.640625
17999.999999999913,514730.58970255614,-1352501.541212996,1986.75390625
18499.99999999995,514253.56822923303,-1352651.3761688264,1985.306640625
18999.999999999935,513789.59745729045,-1352837.7390481317,1980.208984375
19499.999999999967,513443.0463877605,-1353198.1587426653,1975.15625
19999.999999999924,512967.2224164659,-1353044.5633379768,1973.34375
20499.999999999964,512477.12278256996,-1353143.5701501418,1970.0703125
20999.999999999967,512320.6821523474,-1352668.6740254834,1968.2265625
21499.999999999967,512070.62581791694,-1353101.6541977907,1969.326171875
21999.99999999997,511673.31039308675,-1352798.107738098,1969.943359375
22499.999999999865,511446.0183904613,-1353243.459672575,1964.77734375
22999.999999999996,511243.2997501574,-1353700.52110485,1952.501953125
23499.99999999997,511064.80298807635,-1354167.5745342632,1947.22265625
23999.999999999985,510760.1633270168,-1354564.0523733785,1945.880859375
24499.99999999993,510350.0,-1354850.0,1937.8828125
24999.999999999876,509939.8366729832,-1355135.9476266215,1895.513671875
25499.99999999988,509494.3115918918,-1355362.9000492094,1871.115234375
25999.999999999927,509009.59468379786,-1355485.57653028,1866.62109375
26499.99999999993,509347.06996620307,-1355116.6450545755,1870.662109375
26999.999999999964,508914.8480010758,-1355368.0096759158,1865.96875
27499.999999999978,509308.50716565084,-1355059.7363197105,1873.21875
27999.999999999887,508890.1423906842,-1355333.5444917344,1871.041015625
28499.999999999873,509299.1564041392,-1355045.9553111356,1868.892578125
28999.999999999945,508884.2238421403,-1355324.9373338416,1871.041015625
29499.99999999994,509296.95397031464,-1355042.7072126688,1868.892578125
29999.999999999938,508882.8428326911,-1355322.907080078,1871.041015625
30500.000000000007,509296.4368671689,-1355041.9444942335,1868.892578125
31000.00000000008,508882.51948465355,-1355322.4305018198,1871.041015625
31500.00000000011,509296.3155859498,-1355041.7656010003,1868.892578125
32000.00000000017,508882.44369545067,-1355322.3187301126,1871.041015625
32500.000000000247,509296.2871471774,-1355041.7236527093,1868.892578125
33000.000000000284,508882.4259266024,-1355322.292521446,1871.041015625
33500.000000000284,509296.28047902737,-1355041.7138169135,1868.892578125
34000.00000000027,508882.42176041804,-1355322.2863762116,1871.041015625
34500.000000000255,509296.2789155393,-1355041.7115107034,1868.892578125
35000.00000000024,508882.42078357656,-1355322.2849353328,1871.041015625
35500.00000000023,509296.2785489477,-1355041.7109699654,1868.892578125
36000.00000000022,508882.4205545366,-1355322.2845974895,1871.041015625
36500.0000000002,509296.27846299286,-1355041.7108431784,1868.892578125
37000.00000000023,508882.4205008336,-1355322.2845182754,1871.041015625
37500.00000000032,509296.27844283904,-1355041.7108134506,1868.892578125
38000.00000000042,508882.4204882418,-1355322.284499702,1871.041015625
38500.00000000051,509296.2784381136,-1355041.7108064804,1868.892578125
39000.00000000046,508882.4204852895,-1355322.284495347,1871.041015625
39500.00000000036,509296.2784370056,-1355041.7108048461,1868.892578125
40000.00000000034,508882.4204845972,-1355322.284494326,1871.041015625
40500.00000000036,509296.2784367458,-1355041.710804463,1868.892578125
41000.00000000044,508882.4204844349,-1355322.2844940866,1871.041015625
41500.0000000005,509296.27843668486,-1355041.710804373,1868.892578125
42000.000000000415,508882.42048439686,-1355322.2844940303,1871.041015625
42500.00000000041,509296.2784366706,-1355041.7108043518,1868.892578125
43000.0000000005,508882.4204843879,-1355322.2844940173,1871.041015625
43500.000000000546,509296.2784366672,-1355041.710804347,1868.892578125
44000.000000000626,508882.4204843858,-1355322.2844940142,1871.041015625
44500.000000000735,509296.2784366665,-1355041.7108043458,1868.892578125
45000.00000000084,508882.42048438534,-1355322.2844940135,1871.041015625
45500.000000000924,509296.2784366663,-1355041.7108043456,1868.892578125
46000.00000000098,508882.4204843852,-1355322.2844940133,1871.041015625
46500.00000000099,509296.27843666624,-1355041.7108043456,1868.892578125
47000.000000001,508882.4204843852,-1355322.2844940133,1871.041015625
